date,station_id,turbidity_ntu,ph
2024-01-01,河东供水站,0.52,7.12
2024-01-01,河东供水站,0.48,7.08
2024-01-02,河东供水站,0.61,6.95
2024-01-03,河东供水站,1.25,7.22
2024-01-04,河东供水站,0.78,6.88
2024-01-05,河东供水站,0.82,7.56
2024-01-06,河东供水站,0.45,7.02
2024-01-07,河东供水站,0.58,6.98
2024-01-08,河东供水站,1.12,7.15
2024-01-09,河东供水站,0.67,7.05
2024-01-10,河东供水站,0.72,6.92
2024-01-11,河东供水站,0.55,7.10
2024-01-12,河东供水站,0.49,7.01
2024-01-13,河东供水站,0.91,6.85
2024-01-14,河东供水站,1.08,7.42
2024-01-15,河东供水站,0.63,7.08
2024-01-16,河东供水站,0.57,6.96
2024-01-17,河东供水站,0.48,7.11
2024-01-18,河东供水站,0.85,7.62
2024-01-19,河东供水站,0.76,7.03
2024-01-20,河东供水站,0.69,6.89
2024-01-21,河东供水站,0.52,7.07
2024-01-22,河东供水站,1.35,7.18
2024-01-23,河东供水站,0.88,6.94
2024-01-24,河东供水站,0.74,7.06
2024-01-25,河东供水站,0.61,7.13
2024-01-26,河东供水站,0.55,6.97
2024-01-27,河东供水站,0.47,7.04
2024-01-28,河东供水站,0.92,7.58
2024-01-29,河东供水站,0.83,7.09
2024-01-30,河东供水站,0.71,6.91
2024-01-31,河东供水站,0.59,7.16
2024-02-01,河东供水站,0.53,7.05
2024-02-02,河东供水站,1.18,7.23
2024-02-03,河东供水站,0.68,6.93
2024-02-04,河东供水站,0.75,7.12
2024-02-05,河东供水站,0.82,6.87
2024-02-06,河东供水站,0.94,7.65
2024-02-07,河东供水站,0.57,7.01
2024-02-08,河东供水站,0.62,6.99
2024-02-09,河东供水站,0.48,7.08
2024-02-10,河东供水站,0.79,7.17
2024-02-11,河东供水站,0.91,7.48
2024-02-12,河东供水站,1.22,6.86
2024-02-13,河东供水站,0.66,7.06
2024-02-14,河东供水站,0.54,6.95
2024-02-15,河东供水站,0.73,7.11
2024-01-01,河西供水站,0.45,7.08
2024-01-02,河西供水站,0.52,6.96
2024-01-03,河西供水站,0.68,7.15
2024-01-04,河西供水站,0.95,7.52
2024-01-05,河西供水站,1.12,6.85
2024-01-06,河西供水站,0.58,7.03
2024-01-07,河西供水站,0.63,7.10
2024-01-08,河西供水站,0.71,6.92
2024-01-09,河西供水站,0.84,7.58
2024-01-10,河西供水站,0.55,7.05
2024-01-11,河西供水站,0.49,6.98
2024-01-12,河西供水站,0.67,7.12
2024-01-13,河西供水站,1.28,7.25
2024-01-14,河西供水站,0.76,6.89
2024-01-15,河西供水站,0.81,7.06
2024-01-16,河西供水站,0.59,7.13
2024-01-17,河西供水站,0.46,6.95
2024-01-18,河西供水站,0.65,7.02
2024-01-19,河西供水站,0.92,7.61
2024-01-20,河西供水站,0.87,7.09
2024-01-21,河西供水站,0.74,6.91
2024-01-22,河西供水站,0.56,7.16
2024-01-23,河西供水站,0.48,7.04
2024-01-24,河西供水站,0.62,6.97
2024-01-25,河西供水站,1.05,7.35
2024-01-26,河西供水站,0.78,6.88
2024-01-27,河西供水站,0.69,7.08
2024-01-28,河西供水站,0.53,7.14
2024-01-29,河西供水站,0.82,7.56
2024-01-30,河西供水站,0.91,7.01
2024-01-31,河西供水站,0.75,6.94
,河南供水站,0.65,7.12
2024-01-01,河南供水站,0.72,7.08
2024-01-02,河南供水站,0.58,6.95
2024-01-03,河南供水站,0.85,7.22
2024-01-04,河南供水站,1.15,7.56
2024-01-05,河南供水站,0.67,6.88
2024-01-06,河南供水站,0.54,7.02
2024-01-07,河南供水站,0.78,6.98
2024-01-08,河南供水站,0.92,7.15
2024-01-09,河南供水站,0.61,7.05
2024-01-10,河南供水站,0.53,6.92
2024-01-11,河南供水站,0.71,7.10
2024-01-12,河南供水站,0.88,7.42
2024-01-13,河南供水站,1.05,6.85
2024-01-14,河南供水站,0.63,7.08
2024-01-15,河南供水站,0.57,6.96
2024-01-16,河南供水站,0.48,7.11
2024-01-17,河南供水站,0.82,7.62
2024-01-18,河南供水站,0.76,7.03
2024-01-19,河南供水站,0.69,6.89
2024-01-20,河南供水站,0.52,7.07
2024-01-21,河南供水站,0.95,7.18
2024-01-22,河南供水站,0.88,6.94
2024-01-23,河南供水站,0.74,7.06
2024-01-24,河南供水站,0.61,7.13
2024-01-25,河南供水站,0.55,6.97
2024-01-26,河南供水站,0.47,7.04
2024-01-27,河南供水站,0.92,7.58
2024-01-28,河南供水站,0.83,7.09
2024-01-29,河南供水站,0.71,6.91
2024-01-30,河南供水站,0.59,7.16
2024-01-31,河南供水站,0.53,7.05
2024-02-01,河南供水站,1.18,7.23
2024-02-02,河南供水站,0.68,6.93
2024-02-03,河南供水站,0.75,7.12
2024-02-04,河南供水站,0.82,6.87
2024-02-05,河南供水站,0.94,7.65
